product_id,product_name,category,num_reviews_total,num_reviews_clean,num_fakes_removed,avg_star_rating,avg_predicted_star,avg_predicted_confidence,agg_norm_rating,agg_predicted_star_norm,agg_predicted_confidence,agg_mean_mismatch,agg_helpful_votes_total,fuzzy_quality,fuzzy_consensus,fuzzy_dispute,fuzzy_engagement,topsis_score,confidence_discount,senticrank_score,senticrank_score_100,baseline_star_score,sentic_rank_overall,sentic_rank_in_category,baseline_rank_overall,rank_delta
1801690,Samsung UE43N5300AUXCE 109 см черный,TVs,20,20,0,4.35,4.45,0.8840915564587183,0.7630813953488355,0.7805232558139515,0.9096357802319652,0.06976744186046427,172.0,0.875,1.0,1.0,0.5699332236341983,0.7924805516783444,0.8,0.717918621610486,71.7918621610486,86.99999999999999,426,48,483,57
3600163,Indesit IWSB 5105 белый,HomeAppliances,25,25,0,3.6,3.4,0.7402778915642323,0.675518134715026,0.7053108808290163,0.7780606378623698,0.2383419689119159,386.0,0.7612637362640547,0.9561212757228273,1.0,0.6589776904349663,0.7237039016788658,0.8333333333333334,0.6557913595418641,65.57913595418641,72.0,495,59,603,108
3600287,Indesit IWSC 6105 CIS белый,HomeAppliances,18,18,0,4.5,4.5,0.857528919803968,0.7086776859504076,0.7086776859504076,0.865133370246663,0.0,121.0,0.768617021276888,1.0,1.0,0.5313053123861093,0.7411770837473054,0.782608695652174,0.6632979165506516,66.32979165506516,90.0,484,57,434,-50
3600975,Artel ART TC 60 белый,HomeAppliances,23,23,0,3.4782608695652173,3.4347826086956523,0.8051567281183832,0.7621428571428587,0.754285714285716,0.8474016672711107,0.03142857142857121,350.0,0.875,1.0,1.0,0.6481792703011847,0.7979242713173115,0.8214285714285714,0.7293113115634597,72.93113115634597,69.56521739130434,406,50,614,208
3601248,Indesit IWUB 4105 CIS белый,HomeAppliances,23,23,0,3.217391304347826,3.217391304347826,0.8084085166480273,0.410836177474401,0.41254266211603924,0.8619325787829468,0.04436860068259379,586.0,0.4028128950698188,1.0,1.0,0.7050519807945669,0.48650867776366186,0.8214285714285714,0.4114963598528321,41.14963598528321,64.34782608695653,660,65,637,-23
3601349,Artel TC 100 P белый,HomeAppliances,24,24,0,3.625,3.625,0.7909244067690565,0.8382768361581934,0.8382768361581934,0.8718463186930401,0.0,354.0,0.875,1.0,1.0,0.6494324957060003,0.8506883490636756,0.8275862068965517,0.7852822878199158,78.52822878199159,72.5,276,41,600,324
3601479,Indesit EWSD 51031 BK CIS белый,HomeAppliances,24,24,0,2.5,2.4166666666666665,0.834972190243405,0.35451127819548883,0.34699248120300785,0.8399053163749858,0.07819548872180328,665.0,0.3346424702054812,1.0,1.0,0.7190163629915656,0.44323522484639516,0.8275862068965517,0.366339169529858,36.6339169529858,50.0,669,66,678,9
3601553,LG F2V5HS2S серебристый,HomeAppliances,21,21,0,4.428571428571429,4.380952380952381,0.7999637237087014,0.7229729729729677,0.711711711711706,0.8213214850683063,0.04504504504504661,111.0,0.7753906250002798,1.0,1.0,0.5218469056365559,0.7511687009188784,0.8076923076923077,0.6785582442352357,67.85582442352357,88.57142857142858,466,55,461,-5
4801876,Наушники Apple EarPods Lightning белый,Headphones,20,20,0,2.8,2.85,0.7333619370920867,0.8438485804416413,0.8462145110410104,0.651554539496339,0.009463722397476329,1585.0,0.875,0.7031090789912718,1.0,0.8149783452331834,0.843950273518573,0.8,0.7690757282014998,76.90757282014998,55.99999999999999,326,33,667,341
17600092,Bioderma Sensibio DS+ Cream Крем против себорейного дерматита 40 мл,Beauty,28,28,0,4.285714285714286,4.285714285714286,0.8044226011769788,0.6749999999999896,0.6749999999999896,0.8056671910741973,0.0,60.0,0.7019230769234313,1.0,1.0,0.4546460355287156,0.7020388288972323,0.8484848484848485,0.6357853859582131,63.57853859582131,85.71428571428571,512,68,498,-14
17601333,ACM Laboratoire крем Sebionex Trio для лица 40 мл,Beauty,25,25,0,5.0,4.8,0.7096405383959313,1.0,1.0,0.7754074479773662,0.0,18.0,0.875,0.9508148959528308,1.0,0.325643051323212,0.8646814088800817,0.8333333333333334,0.8017509868919538,80.17509868919538,100.0,218,11,1,-217
17601412,"ACM Laboratoire гель Vitix для лица, для зоны декольте 50 мл",Beauty,23,23,0,4.304347826086956,4.3478260869565215,0.641406394675275,0.5263157894736865,0.5657894736842138,0.5225701700153229,0.15789473684210942,19.0,0.5781249999997558,0.44514034002975555,1.0,0.3313158823837186,0.534383644869832,0.8214285714285714,0.46035512182222627,46.035512182222625,86.08695652173913,643,113,493,-150
100080031,LG F4V5VS0W белый,HomeAppliances,21,21,0,4.523809523809524,4.523809523809524,0.8365350252877268,0.6977272727272691,0.6977272727272691,0.7628203231509452,0.0,220.0,0.7453007518800311,0.9256406463000392,1.0,0.597014978438793,0.7318063812935715,0.8076923076923077,0.6591284815256541,65.9128481525654,90.47619047619048,490,58,433,-57
100117217,Велосипед STELS 325 2020 20 дюймов бежевый,Sport,27,27,0,4.62962962962963,4.592592592592593,0.7853831364863753,0.8944444444444442,0.8916666666666667,0.768207906287167,0.011111111111109774,180.0,0.875,0.9364158125724611,1.0,0.5749327622456972,0.8744109919414857,0.84375,0.8157222168426377,81.57222168426377,92.5925925925926,148,14,401,253
100182013,Samsung UE43T5300AUXCE 109 см черный,TVs,23,23,0,3.3043478260869565,3.217391304347826,0.8351932556964267,0.7936507936507947,0.7887864823348706,0.911063087462028,0.019457245263696642,1953.0,0.875,1.0,1.0,0.8380556773356285,0.8323177749631119,0.8214285714285714,0.764411576054442,76.4411576054442,66.08695652173913,339,41,631,292
100383545,Наушники Logitech G Pro X черный,Headphones,30,29,1,4.448275862068965,4.137931034482759,0.7024372676831147,0.7150735294117562,0.7169117647058778,0.6578517553369233,0.3308823529411676,136.0,0.7873376623379205,0.7157035106724152,1.0,0.5441300065903343,0.7330777401370164,0.8529411764705882,0.6693905023280611,66.93905023280611,88.96551724137932,479,48,455,-24
100460960,Велосипед БАРС Принцесса 2023 one size розовый,Sport,22,22,0,3.727272727272727,3.6818181818181817,0.7935081685613301,0.6220930232558115,0.5906976744186015,0.8115127234272405,0.12558139534883994,215.0,0.5998293515355406,1.0,1.0,0.594484068026292,0.6548178156898518,0.8148148148148148,0.5825937214354808,58.259372143548084,74.54545454545453,551,66,588,37
100509545,LG F2V5GG2S серый,HomeAppliances,22,22,0,4.636363636363637,4.636363636363637,0.8315294853081517,0.9220085470085472,0.9220085470085472,0.865977262746464,0.0,468.0,0.875,1.0,1.0,0.6802318088999267,0.9066394349883946,0.8148148148148148,0.837520873277466,83.75208732774661,92.72727272727273,56,8,397,341
100509735,Наушники Sony WH-1000XM4 серебристый,Headphones,29,29,0,4.655172413793103,4.586206896551724,0.7830132079901797,0.9489010989010993,0.9434065934065937,0.816488373714529,0.021978021978022087,455.0,0.875,1.0,1.0,0.6771229610467635,0.9190851912426883,0.8529411764705882,0.8665027396290832,86.65027396290832,93.10344827586206,5,1,387,382
100797845,"Apple MacBook Air 13 2020 13.3"" / 8 Гб / SSD 256 Гб / macOS / MGN63",Laptops,27,27,0,3.8518518518518516,3.925925925925926,0.8079927858045853,0.9070512820512822,0.9192994505494505,0.8855666383952437,0.048992673992673916,4368.0,0.875,1.0,1.0,0.9270473343247205,0.9230942695897123,0.84375,0.8667559996058959,86.6755999605896,77.03703703703704,4,1,567,563
100934284,Наушники Razer Blackshark V2 X черный,Headphones,30,30,0,2.6666666666666665,2.7333333333333334,0.7315930383647661,0.6011673151750996,0.6050583657587567,0.7670856606716296,0.07782101167314996,257.0,0.6109589041092779,0.934171321341391,1.0,0.6141348881409898,0.6412182509393588,0.8571428571428571,0.5724018428068951,57.24018428068951,53.333333333333336,560,56,675,115
101086242,Велосипед Focus Super 2020 one size черный,Sport,26,25,1,3.4,3.32,0.7844790564453912,0.7144549763033192,0.6676540284360204,0.8113715705061434,0.21563981042654046,422.0,0.6891711229950298,1.0,1.0,0.6688149229124892,0.7399483810535517,0.8333333333333334,0.6726099159420792,67.26099159420792,68.0,475,62,620,145
101182724,"Apple MacBook Air 13 2020 13.3"" / 8 Гб / SSD 256 Гб / macOS / MGN63RU/A",Laptops,28,28,0,4.392857142857143,4.5,0.8385808491186687,0.5789902280130271,0.5863192182410399,0.9145439045669554,0.02931596091205148,614.0,0.5962469733653294,1.0,1.0,0.7102054702202039,0.6309751844395821,0.8484848484848485,0.5608726372291281,56.0872637229128,87.85714285714286,569,68,473,-96
101293496,LG 43LM5772PLA 109 см черный,TVs,17,17,0,4.0,3.4705882352941178,0.791387520400099,0.8948040885860317,0.7248722316865426,0.7599894873470614,0.6797274275979561,587.0,0.8065015479878421,0.9199789746922828,0.8251703577517145,0.7052402292801195,0.8801927935034293,0.7727272727272727,0.7946970472037556,79.46970472037556,80.0,236,26,542,306
101407423,Наушники JBL Tune 510BT розовый,Headphones,24,24,0,4.208333333333333,4.125,0.7584580740429416,0.8858173076923073,0.8581730769230766,0.7730753829101502,0.1971153846153825,208.0,0.875,0.9461507658184082,1.0,0.5908405775455503,0.8722588433049621,0.8275862068965517,0.8074610602562841,80.74610602562841,84.16666666666666,195,21,512,317
101500965,BEKO WSPE6H616W белый,HomeAppliances,27,27,0,4.703703703703703,4.7407407407407405,0.8194869411905301,0.8777372262773709,0.8923357664233565,0.8443855708341871,0.05839416058394206,274.0,0.875,1.0,1.0,0.6211921835602007,0.8728831445892858,0.84375,0.8141206026203784,81.41206026203784,94.07407407407406,160,31,368,208
101559314,Велосипед Skillmax DR-Z 2021 17 дюймов серый-оранжевый,Sport,25,25,0,4.36,4.48,0.7920610481345587,0.8351648351648352,0.8681318681318683,0.7792556857949683,0.13186813186813284,91.0,0.875,0.9585113715880196,1.0,0.5000915420857357,0.8312436309497861,0.8333333333333334,0.7671315238087045,76.71315238087045,87.20000000000002,331,40,481,150
101601970,Велосипед Skillmax DR-Z 2021 13 дюймов серый,Sport,27,27,0,4.7407407407407405,4.851851851851852,0.8703289031765675,0.8951612903225763,0.903225806451608,0.8530957840624624,0.03225806451612671,31.0,0.875,1.0,1.0,0.3832963842869687,0.8476692947673846,0.84375,0.7876893885239464,78.76893885239464,94.81481481481481,268,29,349,81
101625140,Велосипед Skillmax DR-Z 2021 14 дюймов зеленый,Sport,28,28,0,4.392857142857143,4.392857142857143,0.8507964421073687,0.917391304347827,0.9163043478260876,0.8939098566280561,0.02173913043478141,230.0,0.875,1.0,1.0,0.6019094035806895,0.8921551866518826,0.8484848484848485,0.8361992409815149,83.61992409815149,87.85714285714286,63,4,473,410
101662678,Музыкальный коврик Huanger 75x60 см,Kids,27,27,0,3.3703703703703702,3.4814814814814814,0.7284948987969279,0.5648148148148147,0.5949074074074072,0.8191235340466758,0.13888888888888645,216.0,0.6031879194627879,1.0,1.0,0.594994904770807,0.6178150009068664,0.84375,0.5467373683078804,54.673736830788044,67.4074074074074,593,64,624,31
101668097,Сортер Learning Resources Ежик Спайк,Kids,27,27,0,4.851851851851852,4.925925925925926,0.7783772559149271,0.9592391304347822,0.9809782608695647,0.7767753057993492,0.1521739130434809,92.0,0.875,0.9535506115967913,1.0,0.5012871857151964,0.8896308083933011,0.84375,0.8316768699395599,83.167686993956,97.03703703703704,79,8,266,187
101702936,Сортер Kabi Геометрия 5в1,Kids,28,28,0,3.892857142857143,3.892857142857143,0.791176567224726,0.7137096774193555,0.7137096774193555,0.803643898569641,0.0,62.0,0.7799295774650742,1.0,1.0,0.45821395650972135,0.7406032827783404,0.8484848484848485,0.6764386519920359,67.64386519920359,77.85714285714286,467,54,564,97
101748828,Yasin 32E9000 81 см черный,TVs,30,30,0,3.6,3.7,0.7952280861935329,0.6837748344370865,0.7036423841059601,0.8339590093398099,0.07947019867549412,151.0,0.7576815642461322,1.0,1.0,0.5556208818953933,0.7241781208891193,0.8571428571428571,0.6607475472200643,66.07475472200643,72.0,488,58,603,115
101817031,Fito Косметик крем-гель Свежая косметика Алое Увлажняющий для лица 50 мл,Beauty,9,9,0,4.555555555555555,4.444444444444445,0.5991608612607081,0.9444444444444445,0.8333333333333333,0.6542245307737653,0.4444444444444444,9.0,0.875,0.7084490615461138,0.9722222222222917,0.2546566055263249,0.8255642762143856,0.6428571428571429,0.701536841869207,70.1536841869207,91.11111111111111,442,56,422,-20
101918623,Fito Косметик крем Bio Cosmetolog для лица 45 мл,Beauty,13,13,0,5.0,5.0,0.7655070173495537,1.0,1.0,0.5948277560352138,0.0,1.0,0.875,0.5896555120692483,1.0,0.07665927685739374,0.7980230248830571,0.7222222222222222,0.7017053197503386,70.17053197503385,100.0,441,55,1,-440
102085463,Плакат Joy Toy Сөйлейтін Әліппе,Kids,27,27,0,4.0,4.0,0.7266079806940882,0.642857142857129,0.642857142857129,0.7606249092837404,0.07142857142856618,56.0,0.6500000000003398,0.9212498185656384,1.0,0.44714513047458226,0.667016331792937,0.84375,0.5983142167330479,59.83142167330478,80.0,540,59,542,2
102138144,Наушники Marshall Major IV черный,Headphones,22,22,0,3.6818181818181817,3.6818181818181817,0.9376357385536687,0.9093690248565968,0.9093690248565968,0.962929109418021,0.0,2615.0,0.875,1.0,1.0,0.8703240256984984,0.9212929907612318,0.8148148148148148,0.8523551406764791,85.23551406764791,73.63636363636363,21,3,592,571
102272027,Наушники Newest M10 Newest черный,Headphones,21,21,0,3.9523809523809526,4.095238095238095,0.8003718121475824,0.6157258064516126,0.7846774193548386,0.8588826541863921,0.7193548387096779,1240.0,0.875,1.0,0.8004032258069503,0.7878494201495974,0.6992119343482794,0.8076923076923077,0.6264205011776108,62.64205011776109,79.04761904761905,521,51,552,31
102298404,Apple iPhone 13 128Gb NanoSIM+eSIM черный,Smartphones,22,22,0,4.181818181818182,4.181818181818182,0.9352497719589763,0.908036454018227,0.908036454018227,0.9614625138212449,0.0,8449.0,0.875,1.0,1.0,0.999999999889404,0.9257531219551255,0.8148148148148148,0.8568702754185561,85.68702754185561,83.63636363636363,14,2,520,506
102298420,Apple iPhone 13 128Gb NanoSIM+eSIM белый,Smartphones,25,25,0,4.48,4.56,0.9218385947264918,0.9752252252252253,0.9777846027846029,0.9712719704934607,0.010237510237510213,4884.0,0.875,1.0,1.0,0.9393937291471659,0.9756746086236976,0.8333333333333334,0.9166666666666667,91.66666666666667,89.60000000000001,1,1,447,446
102339225,URIAGE крем Xemose липидовосстанавливающий против раздражений для лица 200 мл,Beauty,25,25,0,4.6,4.48,0.7190590675285559,0.8571428571428622,0.7738095238095318,0.685432053059161,0.4285714285714133,21.0,0.875,0.7708641061167804,0.9821428571429114,0.3418568030797321,0.8115317774662223,0.8333333333333334,0.746723056912393,74.6723056912393,92.0,372,39,409,37
102400608,Велосипед БАРС 501 2021 14 дюймов синий,Sport,29,29,0,4.724137931034483,4.655172413793103,0.762926082354588,0.7499999999999921,0.7499999999999921,0.7388253632335496,0.0,12.0,0.8749999999999764,0.877650726465344,1.0,0.28367303284707407,0.7527380218631352,0.8529411764705882,0.6902245178149035,69.02245178149035,94.48275862068967,454,58,360,-94
102413320,Игровой центр LEMENGKEKU Логарифмическая доска,Kids,24,24,0,4.916666666666667,4.916666666666667,0.8701155210591075,0.867957746478872,0.867957746478872,0.8848580410473077,0.0,284.0,0.875,1.0,1.0,0.6251424591435134,0.8673430403425941,0.8275862068965517,0.8024066338706473,80.24066338706473,98.33333333333334,211,26,199,-12
102591824,"Тахта Техномир 2м, 200х100 см, обивка велюр, коричневый",Furniture,28,28,0,3.642857142857143,3.607142857142857,0.7607997294348224,0.7170731707317077,0.729268292682928,0.8181950309227354,0.17560975609755894,205.0,0.8175675675677653,1.0,1.0,0.5892415719778413,0.7574277300999981,0.8484848484848485,0.6941743817640175,69.41743817640175,72.85714285714285,451,28,597,146
102591826,"Диван Техномир 400х100 см, обивка велюр, серый",Furniture,25,24,1,2.9583333333333335,3.0416666666666665,0.802280920206588,0.5114555256064698,0.3995956873315359,0.7349898654844643,0.6630727762803305,371.0,0.39254807692338317,0.8699797309671887,0.8355795148252045,0.6546057394299838,0.5294106289334521,0.8275862068965517,0.454944681090214,45.494468109021405,59.166666666666664,645,62,658,13
102666988,Fito Косметик бальзам Норка для лица 10 г,Beauty,24,24,0,4.916666666666667,4.833333333333333,0.7354490851508594,0.9259259259259262,0.9074074074074094,0.7199085615825204,0.07407407407406691,27.0,0.875,0.8398171231633612,1.0,0.36852835192176836,0.8500613730783803,0.8275862068965517,0.784637631395015,78.4637631395015,98.33333333333334,284,23,199,-85
102676765,"Fito Косметик крем гиалуроновый эффективное омоложение для лица, для области вокруг глаз, для зоны декольте 45 мл",Beauty,29,29,0,4.931034482758621,4.9655172413793105,0.8012668333804698,0.9861111111111114,0.9861111111111114,0.8536415860024652,0.0,18.0,0.875,1.0,1.0,0.325643051323212,0.8642200535605863,0.8529411764705882,0.8083621115302446,80.83621115302446,98.62068965517243,189,6,178,-11
102679224,Fito Косметик Biocosmetolog Prof Дневной Гиалуроновый Актив 45 мл,Beauty,6,6,0,4.333333333333333,4.166666666666667,0.5718271059831287,0.8333333333333334,0.7916666666666666,0.5718271059831287,0.16666666666666666,0.0,0.875,0.5436542119651702,1.0,0.0,0.7375553257230463,0.5454545454545454,0.6113593173918748,61.13593173918748,86.66666666666666,534,76,485,-49
102684466,Невская косметика крем Зеленый Чай для лица 40 мл,Beauty,28,28,0,4.964285714285714,4.821428571428571,0.7173536920651149,0.9722222222222195,0.9444444444444425,0.7076274374726647,0.11111111111110804,27.0,0.875,0.8152548749436989,1.0,0.36852835192176836,0.8601634835571995,0.8484848484848485,0.8024747334131519,80.24747334131519,99.28571428571429,209,9,136,-73
102684467,Невская косметика крем Спермацетовый для лица 40 мл,Beauty,26,26,0,4.5,4.653846153846154,0.7692955418843221,0.7499999999999908,0.7794117647058741,0.8181912138507671,0.11764705882353284,102.0,0.875,1.0,1.0,0.5125822951204476,0.7788604946262595,0.8387096774193549,0.7142707068926742,71.42707068926742,90.0,431,53,434,3
102701814,"Сплюшка, высота 35 см, розовый",Kids,26,26,0,4.6923076923076925,4.615384615384615,0.7643898518600795,0.6830357142857056,0.674107142857134,0.8578781459193906,0.03571428571428595,168.0,0.7003424657537822,1.0,1.0,0.5673460656941481,0.7146259747573357,0.8387096774193549,0.647337088807887,64.7337088807887,93.84615384615384,504,55,374,-130
102715483,"Lenovo IdeaPad 3 15.6"" / 8 Гб / SSD 256 Гб / DOS / 15IGL05 / 81WQ00ERRK",Laptops,26,25,1,3.6,3.6,0.8619239203250237,0.6076642335766417,0.6076642335766417,0.8608057025875789,0.0,137.0,0.6128826530609084,1.0,1.0,0.5449343443797122,0.6454679521464619,0.8333333333333334,0.5747905654021904,57.47905654021904,72.0,559,67,603,44
102749656,Наушники Hyper BE62 черный,Headphones,22,22,0,4.045454545454546,4.090909090909091,0.8077702507894435,0.8940774487471543,0.9003416856492047,0.7761151581899755,0.0660592255125283,439.0,0.875,0.9522303163780466,1.0,0.6731726854634507,0.888310926926217,0.8148148148148148,0.8189663330802465,81.89663330802465,80.90909090909092,134,14,540,406
102753861,"Конструктор Block building toys, деталей 45 шт",Kids,27,27,0,4.555555555555555,4.481481481481482,0.7251680498944544,0.8500000000000019,0.7124999999999888,0.7171372591092473,0.8500000000000297,40.0,0.7771739130437422,0.8342745182168261,0.7187500000006846,0.41070606239990254,0.8059712122064667,0.84375,0.7439780570389387,74.39780570389387,91.11111111111111,378,43,422,44
102969161,"Диван AlmatyJihaz Комфорт SQL, 215х80 см, обивка ткань, серый",Furniture,25,25,0,3.0,3.2,0.7976525890307792,0.5714285714285715,0.6078973843058351,0.7863454385736496,0.1458752515090541,994.0,0.6130534082920243,0.9726908771453538,1.0,0.7634154497111761,0.6303385267346039,0.8333333333333334,0.5591264687744644,55.91264687744644,60.0,571,41,652,81
102969165,"Диван AlmatyJihaz Комфорт, 180х66 см, обивка ткань, серый",Furniture,27,27,0,3.7777777777777777,3.7037037037037037,0.7679584270225601,0.5482954545454509,0.5397727272727236,0.8237729795681239,0.05681818181817871,176.0,0.5514705882351124,1.0,1.0,0.5724612413256226,0.5953013937274216,0.84375,0.5231367688101396,52.31367688101396,75.55555555555556,609,49,581,-28
